eval_id,model,domain,question,ground_truth,response,latency,input_tokens,output_tokens,judge_evaluation,judge_score
20260209_215538,us.anthropic.claude-3-5-haiku-20241022-v1:0,math,¿Cuánto es 15 + 27?,42,Error: An error occurred (AccessDeniedException) when calling the InvokeModel operation: User: arn:aws:sts::867344470723:assumed-role/avahi-CloudRole/i-0907b692b71b2a584 is not authorized to perform: bedrock:InvokeModel on resource: arn:aws:bedrock:us-east-1:867344470723:inference-profile/us.anthropic.claude-3-5-haiku-20241022-v1:0 because no identity-based policy allows the bedrock:InvokeModel action,0.06702613830566406,0,0,Error: An error occurred (AccessDeniedException) when calling the InvokeModel operation: User: arn:aws:sts::867344470723:assumed-role/avahi-CloudRole/i-0907b692b71b2a584 is not authorized to perform: bedrock:InvokeModel on resource: arn:aws:bedrock:us-east-1:867344470723:inference-profile/us.anthropic.claude-3-5-sonnet-20241022-v2:0 because no identity-based policy allows the bedrock:InvokeModel action,0
20260209_215538,us.anthropic.claude-3-5-haiku-20241022-v1:0,math,¿Cuál es la raíz cuadrada de 144?,12,Error: An error occurred (AccessDeniedException) when calling the InvokeModel operation: User: arn:aws:sts::867344470723:assumed-role/avahi-CloudRole/i-0907b692b71b2a584 is not authorized to perform: bedrock:InvokeModel on resource: arn:aws:bedrock:us-east-1:867344470723:inference-profile/us.anthropic.claude-3-5-haiku-20241022-v1:0 because no identity-based policy allows the bedrock:InvokeModel action,0.04987525939941406,0,0,Error: An error occurred (AccessDeniedException) when calling the InvokeModel operation: User: arn:aws:sts::867344470723:assumed-role/avahi-CloudRole/i-0907b692b71b2a584 is not authorized to perform: bedrock:InvokeModel on resource: arn:aws:bedrock:us-east-1:867344470723:inference-profile/us.anthropic.claude-3-5-sonnet-20241022-v2:0 because no identity-based policy allows the bedrock:InvokeModel action,0
20260209_215538,us.anthropic.claude-3-5-haiku-20241022-v1:0,math,¿Cuánto es 8 x 7?,56,Error: An error occurred (AccessDeniedException) when calling the InvokeModel operation: User: arn:aws:sts::867344470723:assumed-role/avahi-CloudRole/i-0907b692b71b2a584 is not authorized to perform: bedrock:InvokeModel on resource: arn:aws:bedrock:us-east-1:867344470723:inference-profile/us.anthropic.claude-3-5-haiku-20241022-v1:0 because no identity-based policy allows the bedrock:InvokeModel action,0.04842734336853027,0,0,Error: An error occurred (AccessDeniedException) when calling the InvokeModel operation: User: arn:aws:sts::867344470723:assumed-role/avahi-CloudRole/i-0907b692b71b2a584 is not authorized to perform: bedrock:InvokeModel on resource: arn:aws:bedrock:us-east-1:867344470723:inference-profile/us.anthropic.claude-3-5-sonnet-20241022-v2:0 because no identity-based policy allows the bedrock:InvokeModel action,0
20260209_215538,us.anthropic.claude-3-5-haiku-20241022-v1:0,math,¿Cuánto es 100 - 37?,63,Error: An error occurred (AccessDeniedException) when calling the InvokeModel operation: User: arn:aws:sts::867344470723:assumed-role/avahi-CloudRole/i-0907b692b71b2a584 is not authorized to perform: bedrock:InvokeModel on resource: arn:aws:bedrock:us-east-1:867344470723:inference-profile/us.anthropic.claude-3-5-haiku-20241022-v1:0 because no identity-based policy allows the bedrock:InvokeModel action,0.06765866279602051,0,0,Error: An error occurred (AccessDeniedException) when calling the InvokeModel operation: User: arn:aws:sts::867344470723:assumed-role/avahi-CloudRole/i-0907b692b71b2a584 is not authorized to perform: bedrock:InvokeModel on resource: arn:aws:bedrock:us-east-1:867344470723:inference-profile/us.anthropic.claude-3-5-sonnet-20241022-v2:0 because no identity-based policy allows the bedrock:InvokeModel action,0
20260209_215538,us.anthropic.claude-3-5-haiku-20241022-v1:0,math,¿Cuánto es 50 / 5?,10,Error: An error occurred (AccessDeniedException) when calling the InvokeModel operation: User: arn:aws:sts::867344470723:assumed-role/avahi-CloudRole/i-0907b692b71b2a584 is not authorized to perform: bedrock:InvokeModel on resource: arn:aws:bedrock:us-east-1:867344470723:inference-profile/us.anthropic.claude-3-5-haiku-20241022-v1:0 because no identity-based policy allows the bedrock:InvokeModel action,0.05065631866455078,0,0,Error: An error occurred (AccessDeniedException) when calling the InvokeModel operation: User: arn:aws:sts::867344470723:assumed-role/avahi-CloudRole/i-0907b692b71b2a584 is not authorized to perform: bedrock:InvokeModel on resource: arn:aws:bedrock:us-east-1:867344470723:inference-profile/us.anthropic.claude-3-5-sonnet-20241022-v2:0 because no identity-based policy allows the bedrock:InvokeModel action,0
20260209_215538,us.anthropic.claude-3-5-haiku-20241022-v1:0,math,¿Cuánto es 2 elevado a 5?,32,Error: An error occurred (AccessDeniedException) when calling the InvokeModel operation: User: arn:aws:sts::867344470723:assumed-role/avahi-CloudRole/i-0907b692b71b2a584 is not authorized to perform: bedrock:InvokeModel on resource: arn:aws:bedrock:us-east-1:867344470723:inference-profile/us.anthropic.claude-3-5-haiku-20241022-v1:0 because no identity-based policy allows the bedrock:InvokeModel action,0.04605579376220703,0,0,Error: An error occurred (AccessDeniedException) when calling the InvokeModel operation: User: arn:aws:sts::867344470723:assumed-role/avahi-CloudRole/i-0907b692b71b2a584 is not authorized to perform: bedrock:InvokeModel on resource: arn:aws:bedrock:us-east-1:867344470723:inference-profile/us.anthropic.claude-3-5-sonnet-20241022-v2:0 because no identity-based policy allows the bedrock:InvokeModel action,0
20260209_215538,us.anthropic.claude-3-5-haiku-20241022-v1:0,math,¿Cuánto es 15% de 200?,30,Error: An error occurred (AccessDeniedException) when calling the InvokeModel operation: User: arn:aws:sts::867344470723:assumed-role/avahi-CloudRole/i-0907b692b71b2a584 is not authorized to perform: bedrock:InvokeModel on resource: arn:aws:bedrock:us-east-1:867344470723:inference-profile/us.anthropic.claude-3-5-haiku-20241022-v1:0 because no identity-based policy allows the bedrock:InvokeModel action,0.04811286926269531,0,0,Error: An error occurred (AccessDeniedException) when calling the InvokeModel operation: User: arn:aws:sts::867344470723:assumed-role/avahi-CloudRole/i-0907b692b71b2a584 is not authorized to perform: bedrock:InvokeModel on resource: arn:aws:bedrock:us-east-1:867344470723:inference-profile/us.anthropic.claude-3-5-sonnet-20241022-v2:0 because no identity-based policy allows the bedrock:InvokeModel action,0
20260209_215538,us.anthropic.claude-3-5-haiku-20241022-v1:0,math,¿Cuál es el perímetro de un cuadrado de lado 5?,20,Error: An error occurred (AccessDeniedException) when calling the InvokeModel operation: User: arn:aws:sts::867344470723:assumed-role/avahi-CloudRole/i-0907b692b71b2a584 is not authorized to perform: bedrock:InvokeModel on resource: arn:aws:bedrock:us-east-1:867344470723:inference-profile/us.anthropic.claude-3-5-haiku-20241022-v1:0 because no identity-based policy allows the bedrock:InvokeModel action,0.06255197525024414,0,0,Error: An error occurred (AccessDeniedException) when calling the InvokeModel operation: User: arn:aws:sts::867344470723:assumed-role/avahi-CloudRole/i-0907b692b71b2a584 is not authorized to perform: bedrock:InvokeModel on resource: arn:aws:bedrock:us-east-1:867344470723:inference-profile/us.anthropic.claude-3-5-sonnet-20241022-v2:0 because no identity-based policy allows the bedrock:InvokeModel action,0
20260209_215538,us.anthropic.claude-3-5-haiku-20241022-v1:0,math,¿Cuántos grados tiene un triángulo?,180 grados,Error: An error occurred (AccessDeniedException) when calling the InvokeModel operation: User: arn:aws:sts::867344470723:assumed-role/avahi-CloudRole/i-0907b692b71b2a584 is not authorized to perform: bedrock:InvokeModel on resource: arn:aws:bedrock:us-east-1:867344470723:inference-profile/us.anthropic.claude-3-5-haiku-20241022-v1:0 because no identity-based policy allows the bedrock:InvokeModel action,0.04607796669006348,0,0,Error: An error occurred (AccessDeniedException) when calling the InvokeModel operation: User: arn:aws:sts::867344470723:assumed-role/avahi-CloudRole/i-0907b692b71b2a584 is not authorized to perform: bedrock:InvokeModel on resource: arn:aws:bedrock:us-east-1:867344470723:inference-profile/us.anthropic.claude-3-5-sonnet-20241022-v2:0 because no identity-based policy allows the bedrock:InvokeModel action,0
20260209_215538,us.anthropic.claude-3-5-haiku-20241022-v1:0,math,¿Cuánto es 3/4 más 1/4?,1,Error: An error occurred (AccessDeniedException) when calling the InvokeModel operation: User: arn:aws:sts::867344470723:assumed-role/avahi-CloudRole/i-0907b692b71b2a584 is not authorized to perform: bedrock:InvokeModel on resource: arn:aws:bedrock:us-east-1:867344470723:inference-profile/us.anthropic.claude-3-5-haiku-20241022-v1:0 because no identity-based policy allows the bedrock:InvokeModel action,0.049687862396240234,0,0,Error: An error occurred (AccessDeniedException) when calling the InvokeModel operation: User: arn:aws:sts::867344470723:assumed-role/avahi-CloudRole/i-0907b692b71b2a584 is not authorized to perform: bedrock:InvokeModel on resource: arn:aws:bedrock:us-east-1:867344470723:inference-profile/us.anthropic.claude-3-5-sonnet-20241022-v2:0 because no identity-based policy allows the bedrock:InvokeModel action,0
