eval_id,model,domain,question,ground_truth,response,latency,input_tokens,output_tokens,judge_evaluation,judge_score
20260209_220019,arn:aws:bedrock:us-east-1:867344470723:inference-profile/us.anthropic.claude-3-5-haiku-20241022-v1:0,math,¿Cuánto es 15 + 27?,42,Error: Model provider should be supplied when passing a model ARN as model_id,0.00013065338134765625,0,0,Error: Model provider should be supplied when passing a model ARN as model_id,0
20260209_220019,arn:aws:bedrock:us-east-1:867344470723:inference-profile/us.anthropic.claude-3-5-haiku-20241022-v1:0,math,¿Cuál es la raíz cuadrada de 144?,12,Error: Model provider should be supplied when passing a model ARN as model_id,5.8650970458984375e-05,0,0,Error: Model provider should be supplied when passing a model ARN as model_id,0
20260209_220019,arn:aws:bedrock:us-east-1:867344470723:inference-profile/us.anthropic.claude-3-5-haiku-20241022-v1:0,math,¿Cuánto es 8 x 7?,56,Error: Model provider should be supplied when passing a model ARN as model_id,3.8623809814453125e-05,0,0,Error: Model provider should be supplied when passing a model ARN as model_id,0
20260209_220019,arn:aws:bedrock:us-east-1:867344470723:inference-profile/us.anthropic.claude-3-5-haiku-20241022-v1:0,math,¿Cuánto es 100 - 37?,63,Error: Model provider should be supplied when passing a model ARN as model_id,3.1948089599609375e-05,0,0,Error: Model provider should be supplied when passing a model ARN as model_id,0
20260209_220019,arn:aws:bedrock:us-east-1:867344470723:inference-profile/us.anthropic.claude-3-5-haiku-20241022-v1:0,math,¿Cuánto es 50 / 5?,10,Error: Model provider should be supplied when passing a model ARN as model_id,3.147125244140625e-05,0,0,Error: Model provider should be supplied when passing a model ARN as model_id,0
20260209_220019,arn:aws:bedrock:us-east-1:867344470723:inference-profile/us.anthropic.claude-3-5-haiku-20241022-v1:0,math,¿Cuánto es 2 elevado a 5?,32,Error: Model provider should be supplied when passing a model ARN as model_id,3.218650817871094e-05,0,0,Error: Model provider should be supplied when passing a model ARN as model_id,0
20260209_220019,arn:aws:bedrock:us-east-1:867344470723:inference-profile/us.anthropic.claude-3-5-haiku-20241022-v1:0,math,¿Cuánto es 15% de 200?,30,Error: Model provider should be supplied when passing a model ARN as model_id,2.5987625122070312e-05,0,0,Error: Model provider should be supplied when passing a model ARN as model_id,0
20260209_220019,arn:aws:bedrock:us-east-1:867344470723:inference-profile/us.anthropic.claude-3-5-haiku-20241022-v1:0,math,¿Cuál es el perímetro de un cuadrado de lado 5?,20,Error: Model provider should be supplied when passing a model ARN as model_id,1.52587890625e-05,0,0,Error: Model provider should be supplied when passing a model ARN as model_id,0
20260209_220019,arn:aws:bedrock:us-east-1:867344470723:inference-profile/us.anthropic.claude-3-5-haiku-20241022-v1:0,math,¿Cuántos grados tiene un triángulo?,180 grados,Error: Model provider should be supplied when passing a model ARN as model_id,1.0967254638671875e-05,0,0,Error: Model provider should be supplied when passing a model ARN as model_id,0
20260209_220019,arn:aws:bedrock:us-east-1:867344470723:inference-profile/us.anthropic.claude-3-5-haiku-20241022-v1:0,math,¿Cuánto es 3/4 más 1/4?,1,Error: Model provider should be supplied when passing a model ARN as model_id,1.7642974853515625e-05,0,0,Error: Model provider should be supplied when passing a model ARN as model_id,0
20260209_220019,arn:aws:bedrock:us-east-1:867344470723:inference-profile/us.anthropic.claude-3-5-haiku-20241022-v1:0,science,¿Cuál es el símbolo químico del agua?,H2O,Error: Model provider should be supplied when passing a model ARN as model_id,1.0967254638671875e-05,0,0,Error: Model provider should be supplied when passing a model ARN as model_id,0
20260209_220019,arn:aws:bedrock:us-east-1:867344470723:inference-profile/us.anthropic.claude-3-5-haiku-20241022-v1:0,science,¿Cuántos planetas hay en el sistema solar?,8 planetas,Error: Model provider should be supplied when passing a model ARN as model_id,1.0728836059570312e-05,0,0,Error: Model provider should be supplied when passing a model ARN as model_id,0
20260209_220019,arn:aws:bedrock:us-east-1:867344470723:inference-profile/us.anthropic.claude-3-5-haiku-20241022-v1:0,science,¿Qué gas respiramos?,Oxígeno,Error: Model provider should be supplied when passing a model ARN as model_id,1.0251998901367188e-05,0,0,Error: Model provider should be supplied when passing a model ARN as model_id,0
20260209_220019,arn:aws:bedrock:us-east-1:867344470723:inference-profile/us.anthropic.claude-3-5-haiku-20241022-v1:0,science,¿Cuál es el planeta más grande?,Júpiter,Error: Model provider should be supplied when passing a model ARN as model_id,1.0251998901367188e-05,0,0,Error: Model provider should be supplied when passing a model ARN as model_id,0
20260209_220019,arn:aws:bedrock:us-east-1:867344470723:inference-profile/us.anthropic.claude-3-5-haiku-20241022-v1:0,science,¿A qué velocidad viaja la luz?,"300,000 kilómetros por segundo",Error: Model provider should be supplied when passing a model ARN as model_id,1.0251998901367188e-05,0,0,Error: Model provider should be supplied when passing a model ARN as model_id,0
